Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Townsville,23.9,31.6,0,9.4,9.1,N,41,N,N,19,26,61,56,1010.4,1006.2,7,3,29.2,29.8,No,No
Nuriootpa,9.6,17,0.8,1.2,4.7,NW,54,NW,WNW,22,35,74,52,1015.8,1013,7,7,12.2,15.9,No,No
Darwin,21.9,31.9,0,7.8,10,SE,44,SE,E,28,30,26,27,1015.5,1011.9,5,3,23,31.1,No,No
MelbourneAirport,6.9,31.3,0,4.8,11.6,N,52,W,WNW,2,26,82,17,1010.6,1005,1,1,13.7,31,No,Yes
NorfolkIsland,14.6,20.4,3.4,2.6,9.8,W,50,WSW,WSW,28,31,72,60,1014.1,1013.4,1,1,18.4,19.8,Yes,No
CoffsHarbour,22,32.5,0,5.2,11.5,NE,35,SE,NE,7,22,63,68,1008.5,1005.8,1,1,28.6,31.2,No,Yes
Townsville,23.1,29.1,78.4,3.2,0,NNE,81,E,NE,35,39,84,93,1004.1,999.8,8,8,26.6,26.5,Yes,Yes
Nuriootpa,12.5,18,1.2,3.8,7.1,W,43,W,SW,22,22,68,45,1015.9,1016.3,7,4,14.8,17,Yes,No
WaggaWagga,3.2,26.9,0,4,11.6,NNW,54,E,NW,13,33,57,7,1018.1,1010.9,3,5,12.4,26.4,No,No
Brisbane,24.1,31,0.2,6.7,8.7,WNW,57,NNE,NE,7,15,58,64,1013.6,1009.1,3,6,29.7,29,No,Yes
Watsonia,11.1,20.6,0,3.2,7.5,SE,20,S,SSE,2,7,100,52,1028.2,1025.7,3,7,13.1,19.6,No,No
MelbourneAirport,7.4,15.2,0,1.6,6.7,SSE,22,W,S,7,13,78,57,1025.8,1023.3,5,4,10.7,14.7,No,No
CoffsHarbour,3.5,16.6,0,1.8,0.5,SW,15,W,W,4,9,88,73,1020,1017.9,7,8,9.3,13.7,No,Yes
Perth,12.8,27.5,0,6,11.4,SE,39,SE,SE,15,13,60,37,1018.1,1014.9,2,1,18.4,27.1,No,No
MelbourneAirport,14.9,18.8,0,7.4,0.3,N,61,N,N,31,30,58,58,1025.2,1022.5,8,7,15.9,18.3,No,No
Cairns,19.8,28.8,0,4.4,7.4,SE,41,S,SE,17,31,65,61,1017.2,1015.4,2,5,24.4,25.6,No,No
NorfolkIsland,14.6,19,0,6,9.1,SW,54,SW,SSW,30,31,69,58,1021.9,1020.2,3,5,17,17.8,No,No
SydneyAirport,19.8,29.3,0,8.6,10.9,SW,76,WNW,WSW,20,44,27,16,1004.3,1002,6,2,23.5,27,No,No
MountGambier,8.1,15.9,0.8,1.2,3.1,SW,35,WNW,SSW,9,22,92,88,1033.3,1031.7,3,7,12.5,14.7,No,Yes
Sydney,18.1,26,0,4.8,10.9,E,26,WNW,E,11,20,91,67,1017.9,1014.6,2,1,18.9,24.7,No,No
Watsonia,9.1,13.3,0,0.6,0.8,SSW,24,S,SSW,13,13,66,68,1032.6,1030.6,7,7,10.8,12.2,No,No
AliceSprings,17.9,28.8,0,8.4,7.1,E,30,E,SSE,9,9,28,19,1015.9,1011,7,5,20.1,26.8,No,No
MelbourneAirport,11.1,20.4,0,2.6,5.7,SW,24,SSW,WSW,13,7,75,60,1021,1018.7,8,1,13.2,18.2,No,No
