Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Williamtown,14.4,25.3,0,5.8,5.4,S,33,NW,SSW,13,19,76,57,1015.6,1015.1,5,5,19.1,24.4,No,No
Nuriootpa,9.6,17,0.8,1.2,4.7,NW,54,NW,WNW,22,35,74,52,1015.8,1013,7,7,12.2,15.9,No,No
AliceSprings,22.9,42.2,0,15,11.2,SE,56,N,SSW,28,13,8,6,1011.9,1008.1,0,5,36.5,39.8,No,No
Perth,13.5,17.3,19.4,3.2,5.4,W,52,W,W,17,20,76,53,1015.4,1016,7,5,13.8,15.2,Yes,Yes
Watsonia,9.2,15.9,0,3.2,3.1,SSW,37,W,SSW,11,15,72,65,1022.3,1021.9,7,7,13,14.6,No,No
Brisbane,20.1,32,0,8.8,12,E,24,ESE,ENE,7,11,57,46,1017.9,1014.5,2,1,26,29.6,No,No
MelbourneAirport,6.9,31.3,0,4.8,11.6,N,52,W,WNW,2,26,82,17,1010.6,1005,1,1,13.7,31,No,Yes
MelbourneAirport,2.6,15.9,0,2.6,7.6,N,44,NW,N,7,31,82,57,1026.5,1021.8,1,7,8.2,14.3,No,No
Sale,7.5,15.5,10.2,2.2,8.2,WNW,94,NW,WNW,52,65,46,44,993.9,993.3,3,6,11.6,13.2,Yes,Yes
NorfolkIsland,14.6,20.4,3.4,2.6,9.8,W,50,WSW,WSW,28,31,72,60,1014.1,1013.4,1,1,18.4,19.8,Yes,No
CoffsHarbour,22,32.5,0,5.2,11.5,NE,35,SE,NE,7,22,63,68,1008.5,1005.8,1,1,28.6,31.2,No,Yes
Hobart,1.4,13.8,0.4,0.4,6.8,NNW,54,NNE,NNW,11,33,83,43,1027.1,1023.3,1,7,4.2,11.8,No,No
Canberra,13.4,26.1,9.2,7.6,5,WNW,70,SE,N,2,17,78,49,1004.9,1000.8,7,8,18.9,25.6,Yes,Yes
Hobart,15,21.8,0,6,8.1,SSW,52,NE,SE,7,19,81,53,1016.5,1018.5,7,5,17.6,18.9,No,No
WaggaWagga,17.8,28.9,0,8,12.5,ENE,43,ENE,ENE,24,15,55,31,1023.8,1021.9,0,1,20.7,27.7,No,No
Moree,17,32.8,0,7.8,11.1,NE,33,E,ENE,4,15,57,28,1019,1015.7,2,8,23.4,31.8,No,No
MelbourneAirport,7.4,15.2,0,1.6,6.7,SSE,22,W,S,7,13,78,57,1025.8,1023.3,5,4,10.7,14.7,No,No
Brisbane,12,21.1,0,2.4,4.9,SSW,22,WSW,SSE,9,9,70,60,1022.3,1020.2,2,7,16.2,19.4,No,No
CoffsHarbour,3.5,16.6,0,1.8,0.5,SW,15,W,W,4,9,88,73,1020,1017.9,7,8,9.3,13.7,No,Yes
Perth,12.8,27.5,0,6,11.4,SE,39,SE,SE,15,13,60,37,1018.1,1014.9,2,1,18.4,27.1,No,No
WaggaWagga,5.1,15.3,0,1.2,8.6,W,24,W,WSW,9,13,73,46,1023.8,1021.8,3,3,11.4,14.5,No,No
MountGambier,8.1,15.9,0.8,1.2,3.1,SW,35,WNW,SSW,9,22,92,88,1033.3,1031.7,3,7,12.5,14.7,No,Yes
MountGambier,8.3,18.7,12,6,11.7,W,54,WNW,W,24,33,66,46,1015,1017.9,6,4,15.4,18.1,Yes,No
Woomera,9,17.1,1.6,6.6,5.7,WSW,57,W,SSW,41,37,79,47,1016,1018.7,7,5,10.2,16.2,Yes,No
Cairns,23.2,30.5,0,5,8.1,SE,46,SSE,SE,20,26,80,65,1014.6,1012.6,3,3,26.7,29.1,No,No
AliceSprings,17.9,28.8,0,8.4,7.1,E,30,E,SSE,9,9,28,19,1015.9,1011,7,5,20.1,26.8,No,No
AliceSprings,18.8,39.5,0,11.8,11.9,NNW,33,ENE,N,19,13,21,13,1014,1010.2,5,5,31.3,37.4,No,No
WaggaWagga,21.7,26.8,1.4,10,0.8,S,33,W,NW,4,7,79,73,1008.6,1008.4,7,8,24.5,25.1,Yes,Yes
MelbourneAirport,11.1,20.4,0,2.6,5.7,SW,24,SSW,WSW,13,7,75,60,1021,1018.7,8,1,13.2,18.2,No,No
PerthAirport,9.6,26.4,0.4,6.6,12.2,SW,50,SSE,S,15,28,44,30,1014.8,1011.9,2,2,20.4,25.9,No,No
SydneyAirport,18.3,23.9,0,7.2,7.5,SE,30,SSE,ESE,15,22,55,50,1019.7,1018.5,2,5,21.3,23.2,No,No
Townsville,18,28.7,0,7.2,10.6,ENE,33,N,ENE,2,28,61,54,1016.2,1011.8,3,3,25.6,27.9,No,No
AliceSprings,16.4,30.7,1.4,5.4,11.8,S,31,W,SSW,11,15,65,23,1008.6,1006.1,0,1,22.9,29.9,Yes,No
AliceSprings,10.1,20.3,0,8,7.9,ESE,39,ESE,ESE,24,19,29,20,1024.3,1020.4,4,5,13.6,20.1,No,No
Woomera,15.4,31.9,0,13.4,12.9,SSE,44,SE,SSW,19,19,59,16,1020,1017.9,0,0,19.2,30.1,No,No
Portland,10.3,17.8,0.4,1,12.3,SW,33,SSW,SSW,15,19,69,55,1009.9,1010.2,7,4,15,16.2,No,No
Townsville,13.8,27,0,7.6,8.2,ESE,48,S,E,7,33,46,49,1022.2,1019,3,6,21.1,26.1,No,No
Darwin,24.7,33.1,0.2,6.8,6.6,N,30,E,NE,13,11,82,62,1009.9,1006.5,7,7,27.6,31.7,No,Yes
Mildura,11.9,32.8,0,9,13.1,ESE,33,E,ENE,13,13,39,10,1019.8,1015.9,0,1,19.9,31.5,No,No
Mildura,10.7,15.1,5,4.2,1.7,WNW,44,S,SSE,2,7,100,94,1015.8,1011,8,8,12,14.3,Yes,Yes
WaggaWagga,14.2,32.4,0,8,11.4,W,37,ESE,WNW,13,20,60,20,1016,1012.7,1,2,21.3,30.2,No,No
