Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Williamtown,14.4,25.3,0.0,5.8,5.4,S,33,NW,SSW,13,19,76,57,1015.6,1015.1,5,5,19.1,24.4,No,No
Nuriootpa,9.6,17.0,0.8,1.2,4.7,NW,54,NW,WNW,22,35,74,52,1015.8,1013.0,7,7,12.2,15.9,No,No
Perth,13.5,17.3,19.4,3.2,5.4,W,52,W,W,17,20,76,53,1015.4,1016.0,7,5,13.8,15.2,Yes,Yes
Darwin,21.9,31.9,0.0,7.8,10.0,SE,44,SE,E,28,30,26,27,1015.5,1011.9,5,3,23.0,31.1,No,No
Watsonia,9.2,15.9,0.0,3.2,3.1,SSW,37,W,SSW,11,15,72,65,1022.3,1021.9,7,7,13.0,14.6,No,No
Brisbane,20.1,32.0,0.0,8.8,12.0,E,24,ESE,ENE,7,11,57,46,1017.9,1014.5,2,1,26.0,29.6,No,No
MelbourneAirport,6.9,31.3,0.0,4.8,11.6,N,52,W,WNW,2,26,82,17,1010.6,1005.0,1,1,13.7,31.0,No,Yes
SydneyAirport,16.2,23.5,0.8,4.2,8.3,SE,35,SSE,SE,15,19,75,62,1027.3,1026.3,6,2,20.2,22.1,No,No
Sale,7.5,15.5,10.2,2.2,8.2,WNW,94,NW,WNW,52,65,46,44,993.9,993.3,3,6,11.6,13.2,Yes,Yes
CoffsHarbour,22.0,32.5,0.0,5.2,11.5,NE,35,SE,NE,7,22,63,68,1008.5,1005.8,1,1,28.6,31.2,No,Yes
Hobart,1.4,13.8,0.4,0.4,6.8,NNW,54,NNE,NNW,11,33,83,43,1027.1,1023.3,1,7,4.2,11.8,No,No
Townsville,23.1,29.1,78.4,3.2,0.0,NNE,81,E,NE,35,39,84,93,1004.1,999.8,8,8,26.6,26.5,Yes,Yes
Nuriootpa,12.5,18.0,1.2,3.8,7.1,W,43,W,SW,22,22,68,45,1015.9,1016.3,7,4,14.8,17.0,Yes,No
Hobart,15.0,21.8,0.0,6.0,8.1,SSW,52,NE,SE,7,19,81,53,1016.5,1018.5,7,5,17.6,18.9,No,No
Brisbane,24.1,31.0,0.2,6.7,8.7,WNW,57,NNE,NE,7,15,58,64,1013.6,1009.1,3,6,29.7,29.0,No,Yes
Watsonia,15.8,24.8,15.6,5.2,4.1,NW,31,SW,NNW,2,17,100,48,1010.3,1008.4,7,7,18.1,23.9,Yes,No
Moree,17.0,32.8,0.0,7.8,11.1,NE,33,E,ENE,4,15,57,28,1019.0,1015.7,2,8,23.4,31.8,No,No
MelbourneAirport,7.4,15.2,0.0,1.6,6.7,SSE,22,W,S,7,13,78,57,1025.8,1023.3,5,4,10.7,14.7,No,No
SydneyAirport,19.9,23.8,2.2,2.6,2.0,S,50,SSW,S,26,31,81,74,1016.1,1015.7,7,7,21.1,22.2,Yes,No
Perth,12.8,27.5,0.0,6.0,11.4,SE,39,SE,SE,15,13,60,37,1018.1,1014.9,2,1,18.4,27.1,No,No
WaggaWagga,5.1,15.3,0.0,1.2,8.6,W,24,W,WSW,9,13,73,46,1023.8,1021.8,3,3,11.4,14.5,No,No
SydneyAirport,19.8,29.3,0.0,8.6,10.9,SW,76,WNW,WSW,20,44,27,16,1004.3,1002.0,6,2,23.5,27.0,No,No
MountGambier,8.1,15.9,0.8,1.2,3.1,SW,35,WNW,SSW,9,22,92,88,1033.3,1031.7,3,7,12.5,14.7,No,Yes
Melbourne,18.0,21.7,0.0,5.4,1.9,NNE,76,N,N,52,37,50,49,1019.1,1015.4,7,7,18.3,20.8,No,Yes
SydneyAirport,13.8,24.2,0.0,8.6,10.6,WSW,50,W,SE,26,19,37,30,1014.9,1011.9,1,2,17.1,21.8,No,No
Woomera,9.0,17.1,1.6,6.6,5.7,WSW,57,W,SSW,41,37,79,47,1016.0,1018.7,7,5,10.2,16.2,Yes,No
