dataset,version,n_samples,n_treino,n_teste,accuracy,accuracy_std,f1,auc,delta,taxa_retencao
yeast,original,1484,1113,371,0.5984,0.0265,0.5845,,0.0,1.0
yeast,python,773,579,194,0.5722,0.0205,0.5607,,-0.0262,0.5209
yeast,c,775,581,194,0.5928,0.0266,0.587,,-0.0056,0.5222
yeast,cuda,782,586,196,0.551,0.0175,0.5386,,-0.0474,0.527
optdigits,original,5620,4215,1405,0.9466,0.0078,0.9466,,0.0,1.0
optdigits,python,2881,2160,721,0.939,0.0078,0.9393,,-0.0076,0.5126
optdigits,c,2779,2084,695,0.9381,0.0081,0.9388,,-0.0085,0.4945
optdigits,cuda,2839,2129,710,0.9338,0.0064,0.9339,,-0.0128,0.5052
vh_data15,original,3353,2514,839,0.8868,0.0068,0.8812,0.9143,0.0,1.0
vh_data15,python,1746,1309,437,0.8879,0.0103,0.8836,0.917,0.0011,0.5207
vh_data15,c,1747,1310,437,0.8947,0.011,0.8895,0.9293,0.008,0.521
vh_data15,cuda,1726,1294,432,0.875,0.0194,0.8684,0.8873,-0.0118,0.5148
covtype,original,5620,4215,1405,0.6769,0.01,0.6469,,0.0,1.0
covtype,python,2868,2151,717,0.6778,0.0155,0.6473,,0.001,0.5103
covtype,c,2865,2148,717,0.6709,0.016,0.6373,,-0.006,0.5098
covtype,cuda,2904,2178,726,0.6625,0.0134,0.6306,,-0.0143,0.5167
weatherAUS,original,5620,4215,1405,0.8548,0.0062,0.8395,0.8905,0.0,1.0
weatherAUS,python,2848,2136,712,0.8258,0.0061,0.8102,0.8677,-0.029,0.5068
weatherAUS,c,2790,2092,698,0.8381,0.0084,0.8231,0.8691,-0.0167,0.4964
weatherAUS,cuda,2925,2193,732,0.8456,0.0066,0.8295,0.8351,-0.0092,0.5205
